num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms]
4,256,30,30,128,32,0.0104
5,256,30,30,128,32,0.016384
6,256,30,30,128,32,0.012288
7,256,30,30,128,32,0.012608
8,256,30,30,128,32,0.014336
9,256,30,30,128,32,0.012352
10,256,30,30,128,32,0.012288
11,256,30,30,128,32,0.013184
12,256,30,30,128,32,0.012288
13,256,30,30,128,32,0.014144
14,256,30,30,128,32,0.013376
15,256,30,30,128,32,0.012864
16,256,30,30,128,32,0.006144
17,256,30,30,128,32,0.012928
18,256,30,30,128,32,0.013888
19,256,30,30,128,32,0.012096
20,256,30,30,128,32,0.012288
21,256,30,30,128,32,0.012288
22,256,30,30,128,32,0.014144
23,256,30,30,128,32,0.007168
24,256,30,30,128,32,0.012352
25,256,30,30,128,32,0.012288
26,256,30,30,128,32,0.014336
27,256,30,30,128,32,0.013856
28,256,30,30,128,32,0.014336
29,256,30,30,128,32,0.011008
30,256,30,30,128,32,0.012768
31,256,30,30,128,32,0.019808
32,256,30,30,128,32,0.012064
1,256,30,30,128,64,0.011776
2,256,30,30,128,64,0.014112
3,256,30,30,128,64,0.010848
4,256,30,30,128,64,0.01312
5,256,30,30,128,64,0.012288
6,256,30,30,128,64,0.014624
7,256,30,30,128,64,0.012896
8,256,30,30,128,64,0.014144
9,256,30,30,128,64,0.014816
10,256,30,30,128,64,0.012288
11,256,30,30,128,64,0.012096
12,256,30,30,128,64,0.014176
13,256,30,30,128,64,0.011776
14,256,30,30,128,64,0.014336
15,256,30,30,128,64,0.013216
16,256,30,30,128,64,0.012256
17,256,30,30,128,64,0.013856
18,256,30,30,128,64,0.016384
19,256,30,30,128,64,0.011232
20,256,30,30,128,64,0.016128
21,256,30,30,128,64,0.014336
22,256,30,30,128,64,0.033248
23,256,30,30,128,64,0.01584
24,256,30,30,128,64,0.012256
25,256,30,30,128,64,0.012288
26,256,30,30,128,64,0.014752
27,256,30,30,128,64,0.0128
28,256,30,30,128,64,0.013088
29,256,30,30,128,64,0.014336
30,256,30,30,128,64,0.014464
31,256,30,30,128,64,0.012512
32,256,30,30,128,64,0.012288
1,256,30,30,128,128,0.012288
2,256,30,30,128,128,0.014592
3,256,30,30,128,128,0.012288
4,256,30,30,128,128,0.013824
5,256,30,30,128,128,0.011936
6,256,30,30,128,128,0.015456
7,256,30,30,128,128,0.014144
8,256,30,30,128,128,0.014144
9,256,30,30,128,128,0.014304
10,256,30,30,128,128,0.012736
11,256,30,30,128,128,0.01488
12,256,30,30,128,128,0.013056
13,256,30,30,128,128,0.013216
14,256,30,30,128,128,0.013696
15,256,30,30,128,128,0.012288
16,256,30,30,128,128,0.015392
17,256,30,30,128,128,0.012288
18,256,30,30,128,128,0.015584
19,256,30,30,128,128,0.012256
20,256,30,30,128,128,0.014048
21,256,30,30,128,128,0.01328
22,256,30,30,128,128,0.014336
23,256,30,30,128,128,0.0064
24,256,30,30,128,128,0.014048
25,256,30,30,128,128,0.011264
