num_run,N,num_blocks_x,num_blocks_y,num_threads_per_x,num_threads_per_y,device_runtime [ms]
1,16384,30,30,512,128,0.012416
2,16384,30,30,512,128,0.014624
3,16384,30,30,512,128,0.014336
4,16384,30,30,512,128,0.015552
5,16384,30,30,512,128,0.016096
6,16384,30,30,512,128,0.015456
7,16384,30,30,512,128,0.010784
8,16384,30,30,512,128,0.012192
9,16384,30,30,512,128,0.015488
10,16384,30,30,512,128,0.012
11,16384,30,30,512,128,0.014336
12,16384,30,30,512,128,0.012
13,16384,30,30,512,128,0.012288
14,16384,30,30,512,128,0.014464
15,16384,30,30,512,128,0.0144
16,16384,30,30,512,128,0.012288
17,16384,30,30,512,128,0.016288
18,16384,30,30,512,128,0.013472
19,16384,30,30,512,128,0.012512
20,16384,30,30,512,128,0.012512
21,16384,30,30,512,128,0.014336
22,16384,30,30,512,128,0.006176
23,16384,30,30,512,128,0.0128
24,16384,30,30,512,128,0.01024
25,16384,30,30,512,128,0.012288
26,16384,30,30,512,128,0.018432
27,16384,30,30,512,128,0.011968
28,16384,30,30,512,128,0.01984
29,16384,30,30,512,128,0.006208
30,16384,30,30,512,128,0.014848
31,16384,30,30,512,128,0.01552
32,16384,30,30,512,128,0.02048
1,16384,30,30,512,256,0.011232
2,16384,30,30,512,256,0.014368
3,16384,30,30,512,256,0.014336
4,16384,30,30,512,256,0.014432
5,16384,30,30,512,256,0.012416
6,16384,30,30,512,256,0.014336
7,16384,30,30,512,256,0.014336
8,16384,30,30,512,256,0.014976
9,16384,30,30,512,256,0.015488
